User_ID	Anime_ID	Feedback
1	1	8
1	3	5
1	5	9
1	6	9
1	7	8
1	8	9
1	9	8
1	11	8
2	12	10
2	13	7
2	14	8
2	15	7
2	16	8
2	17	7
2	18	10
2	19	10
2	20	10
2	21	6
2	22	10
2	23	10
2	24	10
2	25	8
2	26	4
2	27	10
2	28	9
2	29	9
2	30	10
2	31	10
2	32	10
2	33	6
2	34	10
2	35	9
2	36	9
2	37	10
2	38	9
2	39	10
2	40	7
2	41	10
2	42	8
2	43	8
2	44	10
2	45	8
2	46	8
2	5	8
2	47	9
2	48	4
2	6	10
2	49	10
2	50	9
2	51	8
2	52	9
2	53	7
2	54	10
2	55	5
2	56	8
2	7	9
2	57	7
2	58	7
2	59	8
2	60	9
2	61	10
2	62	10
2	63	10
2	64	8
2	65	9
2	66	8
2	67	10
2	68	10
2	69	9
2	70	10
2	71	10
2	72	9
2	73	6
2	74	10
2	75	6
2	8	8
2	76	8
2	77	10
2	78	7
2	79	9
2	80	10
2	81	10
2	82	9
2	83	5
2	84	10
2	85	10
2	86	8
2	87	10
2	88	7
2	89	10
2	90	9
2	91	10
2	92	10
2	93	8
2	94	6
2	95	7
2	96	10
2	97	8
2	98	7
2	99	8
2	100	3
2	101	9
2	102	9
2	103	9
2	104	10
2	105	9
2	106	8
2	107	7
2	108	10
2	109	8
2	110	6
2	111	8
2	112	8
2	113	7
2	114	10
2	115	10
2	116	10
2	117	5
2	118	10
2	119	9
2	120	7
2	121	7
2	122	10
2	123	8
2	124	7
2	125	10
2	126	10
2	127	9
2	128	9
2	129	6
2	130	10
2	131	8
2	132	10
2	133	10
2	134	10
2	135	8
2	136	8
2	137	10
2	138	9
2	139	10
2	140	10
2	141	10
2	142	9
2	143	6
2	144	6
2	145	10
2	146	8
2	147	8
2	148	10
2	149	8
2	150	9
2	151	9
2	152	10
2	153	9
2	154	7
2	155	9
2	156	10
2	157	8
2	158	10
2	159	8
2	160	8
2	161	10
2	162	9
2	163	9
2	164	9
2	165	10
2	166	10
2	167	6
2	168	8
2	169	6
2	170	9
2	171	7
2	172	8
2	173	10
2	174	10
2	175	9
2	176	10
2	177	10
2	178	10
2	179	10
2	180	9
2	181	10
2	182	9
2	183	10
2	184	9
2	185	7
2	186	10
2	187	10
2	188	10
2	189	8
2	190	7
2	191	7
2	192	10
2	193	10
2	194	9
2	195	10
2	196	10
2	197	9
2	198	7
2	199	7
2	200	9
2	201	8
2	202	10
2	203	10
2	204	8
2	205	9
2	206	9
2	207	10
2	208	7
2	209	7
2	210	8
2	211	10
2	212	8
2	213	6
2	214	9
2	215	9
2	216	10
2	217	10
2	218	8
2	219	6
2	220	8
2	221	10
2	222	9
2	223	9
2	224	9
2	225	6
2	226	8
2	227	10
2	228	9
2	229	10
2	230	8
2	231	8
2	232	10
2	233	9
2	234	7
2	235	7
2	236	9
2	237	6
2	238	7
2	239	9
2	240	9
2	241	8
2	242	6
2	243	8
2	244	8
2	245	9
2	246	8
2	247	9
2	248	9
2	249	7
2	250	9
2	251	9
2	252	9
2	253	9
2	254	7
2	255	10
2	256	8
2	257	8
2	258	8
2	259	9
2	260	10
2	261	10
2	262	7
2	263	8
2	264	8
2	265	10
2	266	9
2	267	9
2	268	7
2	269	8
2	270	9
2	271	5
2	272	9
2	273	9
2	274	4
2	275	9
2	276	8
2	277	9
2	278	8
2	279	6
2	280	9
2	281	10
2	282	9
2	283	8
2	284	9
2	285	7
2	286	9
2	287	9
2	288	6
2	289	9
2	290	8
2	291	8
2	292	10
2	293	10
2	294	8
2	295	9
2	296	10
2	297	8
2	298	6
2	299	7
2	300	8
2	301	9
2	302	9
2	303	9
2	304	10
2	305	8
2	306	10
2	307	10
2	308	8
2	309	9
2	310	8
2	311	9
2	312	9
2	313	8
2	314	8
2	315	8
2	316	9
2	317	8
2	318	9
2	319	8
2	320	9
2	321	8
2	322	9
2	323	9
2	324	9
2	325	9
2	326	8
